Port 3301 is in use, trying another one...

  VITE v8.1.5  ready in 721 ms
00:29:27 [vite] (client) hmr update /assets/styles/app.css
02:12:02 [vite] (client) hmr update /@fs/E:/enLearn/packages/lowcode-framework/src/components/LowCodeForm.vue
02:22:12 [vite] (client) hmr update /@fs/E:/enLearn/packages/lowcode-framework/src/components/LowCodeForm.vue
02:59:40 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/visual-editor/form-material-visual-components.tsx
02:59:42 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/visual-editor/form-material-visual-components.tsx
02:59:48 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/visual-editor/form-material-visual-components.tsx
03:00:46 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/visual-editor/form-material-visual-components.tsx
03:00:47 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/visual-editor/form-material-visual-components.tsx
03:01:56 [vite] (client) hmr update /@fs/E:/enLearn/packages/lowcode-framework/src/components/LowCodeForm.vue
03:06:12 [vite] (client) hmr update /assets/styles/app.css
03:30:49 [vite] (client) hmr update /@fs/E:/enLearn/packages/lowcode-framework/src/components/LowCodeFormField.vue
03:31:40 [vite] (client) hmr update /assets/styles/app.css
03:32:34 [vite] (client) hmr update /assets/styles/app.css
03:33:33 [vite] (client) hmr update /assets/styles/app.css
03:34:04 [vite] (client) hmr update /assets/styles/app.css
03:35:29 [vite] (client) hmr update /assets/styles/app.css
03:36:12 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/visual-editor/material-prop-forms/table-field-options.ts
03:36:40 [vite] (client) hmr update /assets/styles/app.css
03:37:32 [vite] (client) hmr update /assets/styles/app.css
03:39:11 [vite] (client) hmr update /assets/styles/app.css
03:39:23 [vite] (client) hmr update /assets/styles/app.css
03:39:41 [vite] (client) hmr update /assets/styles/app.css
09:09:29 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/runtime/page-reference-dialog.tsx
09:11:42 [vite] (client) hmr update /assets/styles/app.css
09:11:42 [vite] (client) hmr update /@fs/E:/enLearn/packages/lowcode-framework/src/components/LowCodePageRenderer.vue
09:18:30 [vite] (client) page reload E:/enLearn/packages/lowcode-framework/src/runtime/page-reference-dialog.tsx
09:19:32 [vite] (client) hmr update /assets/styles/app.css
11:11:00 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:11:29 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:16:25 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:21:41 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:26:51 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:27:09 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:28:00 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:52:50 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:53:13 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
lowEditor.vue
11:27:09 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:28:00 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:52:50 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
11:53:13 [vite] (client) hmr update /@fs/E:/enLearn/packages/trigger-workflow-editor/src/components/TriggerWorkflowEditor.vue
